Original_Title,Author,ISBN13,Publisher,Published_Date
The Regeneration Trilogy,Pat Barker,9780670869299, Viking Books,1996
Until I Die,Amy Plum,9780062004048, HarperCollins Publishers,2012
Call the midwife : a true story of the East End in the 1950s,Jennifer Worth,9780143116233, Penguin Books,2009
Terrier,Tamora Pierce,9780375814686, Random House,2006
The Warlock - The Secrets of The Immortal Nicholas Flamel,Michael Scott,9780385735339, Delacorte Press,2011
Saphirblau,Kerstin Gier,9783401063478, Arena,2010
True Evil,Greg Iles,9780743292498, Scribner,2006
Undead and Unpopular,MaryJanice Davidson,9780425215999, Berkley,2007
Night Star,Alyson Noel,9780312590987, St. Martin's Griffin,2010
Mrs. Kimble,Jennifer Haigh,9780060858780, Harper Perennial,2005
A Reliable Wife,Robert Goolrick,9781565129382, Algonquin Books of Chapel Hill,2009
Into the Darkest Corner,Elizabeth Haynes,9780956251572, Myriad Editions,2011
Star Bright,Catherine Anderson,9780451225719, Signet,2009
The Glass Room,Simon Mawer,9781408700778, Little Brown and Company,2009
Norwegian by Night,Derek B. Miller,9781921844881, Scribe,"June, 2012"
Chronic City,Jonathan Lethem,9780385518635, Doubleday,2009
Bright Eyes,Catherine Anderson,9780451212160, Signet,2004
The Icarus Girl,Helen Oyeyemi,9781400078752, Anchor,2006
Ice Hunt,James Rollins,9780060521608, Harper,2007
Life,Keith Richards,9780297854395, Weidenfeld & Nicolson,2010
Always in My Heart,Catherine Anderson,9780451206664, Signet,2002
"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,9781932664089, Oni Press,2004
M Is for Magic,Neil Gaiman,9780061186424, HarperCollins Publishers,2007
The Enchanted,Rene Denfeld,9780062285508, Harper,2014
The Rise of Nine,Pittacus Lore,9780061974588, HarperCollins,2012
"Skinny Bitch: A No-Nonsense, Tough-Love Guide for Savvy Girls Who Want to Stop Eating Crap and Start Looking Fabulous!",Rory Freedman,9780762424931, Running Press,2005
Surface Detail,Iain M. Banks,9780316123402, Orbit/Hatchette Book Group (NYC),2010
Passage,Connie Willis,9780553580518, Bantam,2002
Last Night in Twisted River,John Irving,9781400063840, Random House,2009
Appelsinpiken,Jostein Gaarder,9780753819920, Phoenix,2005
Waking the Witch,Kelley Armstrong,9780525951780, Dutton Adult,2010
Harry Potter and the Half-Blood Prince,J.K. Rowling,9780545582995, Scholastic,2013
A Memory of Light,Robert Jordan,9780765325952, Tor Books,2013
Aristotle and Dante Discover the Secrets of the Universe,Benjamin Alire Sáenz,9781442408920, Simon & Schuster Books for Young Readers,2012
The City of Ember,Jeanne DuPrau,9780375822742, Yearling,2003
Playing for Keeps,R.L. Mathewson,9780983212546, Rerum Publishing House,2011
The Mysterious Howling,Maryrose Wood,9780061791055, HarperCollins,2010
The Assassin's Prayer,Ariana Franklin,9780399156281, G.P. Putnam’s Sons,2010
Lullaby,Chuck Palahniuk,9780099437963, Vintage,2003
The Child Thief,Brom,9780061671333, Harper Voyager,2009
Oracle Night,Paul Auster,9780965913225, Henry Holt,2003
Destined,P.C. Cast,9781905654871, Atom,2011
"Air: Or, Have Not Have",Geoff Ryman,9780312261214, St. Martin's Griffin,2004
Zeroville,Steve Erickson,9781933372396, Europa Editions,2007
Blackout,Connie Willis,9780553803198, Spectra Books,2010
Faith,Jennifer Haigh,9780060755805, Harper,2011
Five Quarters of the Orange,Joanne Harris,9780060958022, Harper Perennial,2002
The Necromancer: The Secrets of The Immortal Nicholas Flamel,Michael Scott,9780385905169, Delacorte Books for Young Readers,2010
"Dark Triumph (His Fair Assassin, #2)",Robin LaFevers,9780547628387, Houghton Mifflin Books for Children,2013
"Saga, Volume Two",Brian K. Vaughan,9781607066927, Image Comics,2013
Pirate Latitudes,Michael Crichton,9780061929373, Harper,2009
Feed,M.T. Anderson,9780763622596, Candlewick Press,2004
"Will Grayson, Will Grayson",John Green,9780525421580, Dutton Books,2010
"Burned (Burned, #1)",Ellen Hopkins,9781416903543, Margaret K. McElderry Books,2006
Leaving Time,Jodi Picoult,9780345544926, Ballantine Books,2014
The Walking Dead Compendium Volume 1,Robert Kirkman,9781607060765, Image Comics,2009
The Brutal Telling,Louise Penny,9780312377038, Minotaur Books,2009
Uncommon Criminals,Ally Carter,9781423147954, Disney-Hyperion,2011
A People's History of American Empire,Howard Zinn,9780805087444, Metropolitan Books,2008
Fates and Furies,Lauren Groff,9781594634475, Riverhead Books,2015
Shades of Midnight,Lara Adrian,9780440245261, Dell,2009
Time and Chance,Sharon Kay Penman,9780345396723, Ballantine Books,2003
Opal,Jennifer L. Armentrout,9781620610091, Entangled Teen,2012
Echo Burning,Lee Child,9780515133318, Jove,2002
Wolf Brother,Michelle Paver,9780060728274, Katherine Tegen Books,2006
Champion,Marie Lu,9780399256776, Putnam Juvenile,2013
"Bloodhound (Beka Cooper, #2)",Tamora Pierce,9780375814693, Random House,2009
The Irresistible Revolution: Living as an Ordinary Radical,Shane Claiborne,9780310266303, Zondervan,2006
Everville:  The First Pillar,Roy Huff,9780988936416, Roy Huff,2013
Onze minutos,Paulo Coelho,9780060589288, Harper Perennial,2003
Before They Are Hanged,Joe Abercrombie,9780575077881, Gollancz,2007
Helsinki White,James Thompson,9780399158322, G.P. Putnam's Sons,2012
Legacy of Ashes: the History of the CIA,Tim Weiner,9780385514453, Doubleday,2007
River Secrets,Shannon Hale,9781582349015, Bloomsbury Children's Books,2006
