ID,Title,Author,ISBN13,Publication,Published_Date,Ratings,Genres,Reviews,Average_Rating,Language
696,Stolen (Women of the Otherworld Series #2),Kelley Armstrong,9780452296664,Penguin Publishing Group,2010,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
697,Industrial Magic (Women of the Otherworld Series #4),Kelley Armstrong,9780553587074,Random House Publishing Group,2004,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
698,Haunted (Women of the Otherworld Series #5),Kelley Armstrong,9780553587081,Random House Publishing Group,2005,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
699,Living with the Dead (Women of the Otherworld Series #9),Kelley Armstrong,9780553588545,Random House Publishing Group,2009,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
700,Men of the Otherworld (Women of the Otherworld Series),Kelley Armstrong,9780553591644,Random House Publishing Group,2010,"13,859","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Romance, Paranormal Romance, Romance, Fiction, Fantasy, Supernatural, Anthologies, Adult",624,4.25,English
701,Love You More (Detective D. D. Warren Series #5),Lisa Gardner,9780553591927,Random House Publishing Group,2012,"29,168","Mystery, Thriller, Fiction, Suspense, Mystery, Crime, Thriller, Mystery Thriller","2,039",4.15,English
702,Dime Store Magic (Women of the Otherworld Series #3),Kelley Armstrong,9780345536839,Random House Publishing Group,2012,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
703,Tales of the Otherworld (Women of the Otherworld Series),Kelley Armstrong,9780345536853,Random House Publishing Group,2012,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
704,Bitten (Women of the Otherworld Series #1),Kelley Armstrong,9780452296640,Penguin Publishing Group,2010,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
705,Stolen (Women of the Otherworld Series #2),Kelley Armstrong,9780452296664,Penguin Publishing Group,2010,"8,936","Fantasy, Urban Fantasy, Fantasy, Paranormal, Fantasy, Shapeshifters, Werewolves, Paranormal, Vampires, Romance",395,4.24,English
