67,9780061245091,One Foot in the Grave,Jeaniene Frost, Avon,"[u'April', u'29th', u'2008\n']",9780061245091,One Foot in the Grave (Night Huntress Series #2),Jeaniene Frost,HarperCollins Publishers,2008
68,9780061284397,Evernight,Claudia Gray, HarperTeen,"[u'February', u'10th', u'2009\n']",9780061284441,Evernight (Evernight Series #1),Claudia Gray,HarperCollins Publishers,2009
69,9780061337635,Enemy Women,Paulette Jiles, Harper Perennial,"[u'April', u'10th', u'2007\n']",9780061337635,Enemy Women,Paulette Jiles,HarperCollins Publishers,2007
70,9780061353239,Predictably Irrational: The Hidden Forces that Shape Our Decisions,Dan Ariely, HarperCollins Canada,"[u'February', u'19th', u'2008\n']",9780061353246,Predictably Irrational: The Hidden Forces That Shape Our Decisions,Dan Ariely,HarperCollins Publishers,2010
71,9780061353451,Les Bienveillantes,Jonathan Littell, Harper,"[u'March', u'3rd', u'2009\n']",9782070350896,Les Bienveillantes,Jonathan Littell,"Gallimard, Editions",2008
72,9780061370496,Life on the Refrigerator Door: Notes Between a Mother and Daughter,Alice Kuipers, Harper,"[u'August', u'28th', u'2007\n']",9780061843198,"Life on the Refrigerator Door: Notes Between a Mother and Daughter, a novel",Alice Kuipers,HarperCollins Publishers,2009
73,9780061433016,Nation,Terry Pratchett, HarperCollins,"[u'September', u'30th', u'2008\n']",9780061433030,Nation,Terry Pratchett,HarperCollins Publishers,2009
74,9780061470851,Serena,Ron Rash, Ecco,"[u'October', u'7th', u'2008\n']",9780061470844,Serena,Ron Rash,HarperCollins Publishers,2009
75,9780061474095,Anathem,Neal Stephenson, William Morrow,"[u'September', u'9th', u'2008\n']",9780061474101,Anathem,Neal Stephenson,HarperCollins Publishers,2009
76,9780061493348,Telegraph Avenue,Michael Chabon, HarperCollins,"[u'September', u'11th', u'2012\n']",9780061493355,Telegraph Avenue,Michael Chabon,HarperCollins Publishers,2013
77,9780061558238,The Strain,Guillermo del Toro, William Morrow,"[u'June', u'2nd', u'2009\n']",9780062068255,The Strain (Strain Trilogy #1),Guillermo del Toro,HarperCollins Publishers,2011
